Date,Low,Open,Volume,High,Close,Adjusted_Close
02-06-1972,10.323033332824709,10.323033332824709,0.0,10.323033332824709,10.323033332824709,0.770052433013916
05-06-1972,,,,,,
06-06-1972,,,,,,
07-06-1972,,,,,,
08-06-1972,,,,,,
09-06-1972,,,,,,
12-06-1972,,,,,,
13-06-1972,,,,,,
14-06-1972,,,,,,
15-06-1972,,,,,,
16-06-1972,10.244866371154783,10.244866371154783,0.0,10.244866371154783,10.244866371154783,0.7642216682434082
19-06-1972,,,,,,
20-06-1972,,,,,,
21-06-1972,10.026300430297852,10.026300430297852,0.0,10.026300430297852,10.026300430297852,0.7479174733161926
22-06-1972,10.026300430297852,10.026300430297852,0.0,10.026300430297852,10.026300430297852,0.7479174733161926
23-06-1972,10.026300430297852,10.026300430297852,0.0,10.026300430297852,10.026300430297852,0.7479174733161926
26-06-1972,,,,,,
27-06-1972,,,,,,
28-06-1972,,,,,,
29-06-1972,10.073165893554688,10.073165893554688,0.0,10.073165893554688,10.073165893554688,0.751413106918335
30-06-1972,,,,,,
03-07-1972,,,,,,
05-07-1972,,,,,,
06-07-1972,10.244866371154783,10.244866371154783,0.0,10.244866371154783,10.244866371154783,0.7642216682434082
07-07-1972,,,,,,
10-07-1972,10.198100090026855,10.198100090026855,0.0,10.198100090026855,10.198100090026855,0.7607330679893494
11-07-1972,,,,,,
12-07-1972,10.276165962219238,10.276165962219238,0.0,10.276165962219238,10.276165962219238,0.7665560245513916
13-07-1972,,,,,,
14-07-1972,,,,,,
17-07-1972,,,,,,
18-07-1972,10.198100090026855,10.198100090026855,0.0,10.198100090026855,10.198100090026855,0.7607330679893494
19-07-1972,,,,,,
20-07-1972,,,,,,
21-07-1972,,,,,,
24-07-1972,,,,,,
25-07-1972,,,,,,
26-07-1972,,,,,,
27-07-1972,,,,,,
28-07-1972,,,,,,
31-07-1972,,,,,,
01-08-1972,,,,,,
02-08-1972,,,,,,
03-08-1972,,,,,,
04-08-1972,,,,,,
07-08-1972,,,,,,
08-08-1972,,,,,,
09-08-1972,,,,,,
10-08-1972,,,,,,
11-08-1972,,,,,,
14-08-1972,10.822799682617188,10.822799682617188,0.0,10.822799682617188,10.822799682617188,0.8073332905769348
15-08-1972,10.822799682617188,10.822799682617188,0.0,10.822799682617188,10.822799682617188,0.8073332905769348
16-08-1972,10.822799682617188,10.822799682617188,0.0,10.822799682617188,10.822799682617188,0.8073332905769348
17-08-1972,,,,,,
18-08-1972,10.791500091552734,10.791500091552734,0.0,10.791500091552734,10.791500091552734,0.8049980998039246
21-08-1972,,,,,,
22-08-1972,,,,,,
23-08-1972,,,,,,
24-08-1972,,,,,,
25-08-1972,,,,,,
28-08-1972,,,,,,
29-08-1972,10.447965621948242,10.447965621948242,0.0,10.447965621948242,10.447965621948242,0.7793721556663513
30-08-1972,,,,,,
31-08-1972,,,,,,
01-09-1972,10.447965621948242,10.447965621948242,0.0,10.447965621948242,10.447965621948242,0.7793721556663513
05-09-1972,10.447965621948242,10.447965621948242,0.0,10.447965621948242,10.447965621948242,0.7793721556663513
06-09-1972,,,,,,
07-09-1972,,,,,,
08-09-1972,,,,,,
11-09-1972,,,,,,
12-09-1972,,,,,,
13-09-1972,,,,,,
14-09-1972,10.244866371154783,10.244866371154783,0.0,10.244866371154783,10.244866371154783,0.7642216682434082
15-09-1972,,,,,,
18-09-1972,,,,,,
19-09-1972,10.244866371154783,10.244866371154783,0.0,10.244866371154783,10.244866371154783,0.7642216682434082
20-09-1972,10.244866371154783,10.244866371154783,0.0,10.244866371154783,10.244866371154783,0.7642216682434082
21-09-1972,,,,,,
22-09-1972,,,,,,
25-09-1972,10.198100090026855,10.198100090026855,0.0,10.198100090026855,10.198100090026855,0.7607330679893494
26-09-1972,10.198100090026855,10.198100090026855,0.0,10.198100090026855,10.198100090026855,0.7607330679893494
27-09-1972,,,,,,
28-09-1972,10.151232719421388,10.151232719421388,0.0,10.151232719421388,10.151232719421388,0.757236659526825
29-09-1972,10.151232719421388,10.151232719421388,0.0,10.151232719421388,10.151232719421388,0.757236659526825
02-10-1972,,,,,,
03-10-1972,,,,,,
04-10-1972,,,,,,
05-10-1972,9.994999885559082,9.994999885559082,0.0,9.994999885559082,9.994999885559082,0.7455827593803406
06-10-1972,,,,,,
09-10-1972,,,,,,
10-10-1972,,,,,,
11-10-1972,,,,,,
12-10-1972,,,,,,
13-10-1972,,,,,,
16-10-1972,10.073165893554688,10.073165893554688,0.0,10.073165893554688,10.073165893554688,0.751413106918335
17-10-1972,,,,,,
18-10-1972,10.151232719421388,10.151232719421388,0.0,10.151232719421388,10.151232719421388,0.757236659526825
19-10-1972,10.151232719421388,10.151232719421388,0.0,10.151232719421388,10.151232719421388,0.757236659526825
20-10-1972,,,,,,
23-10-1972,10.323033332824709,10.323033332824709,0.0,10.323033332824709,10.323033332824709,0.770052433013916
24-10-1972,,,,,,
25-10-1972,10.447965621948242,10.447965621948242,0.0,10.447965621948242,10.447965621948242,0.7793721556663513
26-10-1972,,,,,,
27-10-1972,,,,,,
30-10-1972,10.61970043182373,10.61970043182373,0.0,10.61970043182373,10.61970043182373,0.7921820282936096
31-10-1972,,,,,,
01-11-1972,,,,,,
02-11-1972,,,,,,
03-11-1972,,,,,,
06-11-1972,,,,,,
08-11-1972,,,,,,
09-11-1972,,,,,,
10-11-1972,,,,,,
13-11-1972,11.119433403015137,11.119433403015137,0.0,11.119433403015137,11.119433403015137,0.8294603228569031
14-11-1972,,,,,,
15-11-1972,,,,,,
16-11-1972,,,,,,
17-11-1972,,,,,,
20-11-1972,,,,,,
21-11-1972,,,,,,
22-11-1972,11.166333198547363,11.166333198547363,0.0,11.166333198547363,11.166333198547363,0.8329590559005737
24-11-1972,,,,,,
27-11-1972,10.994500160217283,10.994500160217283,0.0,10.994500160217283,10.994500160217283,0.8201411366462708
28-11-1972,,,,,,
29-11-1972,,,,,,
