Date,Low,Open,Volume,High,Close,Adjusted_Close
06-04-1994,30.0,32.5,11900.0,33.75,32.5,32.5
07-04-1994,32.5,32.5,2500.0,32.5,32.5,32.5
08-04-1994,30.0,30.0,3000.0,32.5,30.0,30.0
11-04-1994,32.5,32.5,100.0,32.5,32.5,32.5
12-04-1994,32.5,32.5,4000.0,32.5,32.5,32.5
13-04-1994,30.0,32.5,1100.0,32.5,32.5,32.5
14-04-1994,31.25,31.25,1100.0,32.5,31.25,31.25
15-04-1994,32.5,32.5,900.0,32.5,32.5,32.5
18-04-1994,32.5,32.5,100.0,32.5,32.5,32.5
19-04-1994,30.0,32.5,3700.0,32.5,32.5,32.5
20-04-1994,32.5,32.5,300.0,32.5,32.5,32.5
21-04-1994,31.25,32.5,1300.0,32.5,32.5,32.5
22-04-1994,30.0,32.5,4700.0,32.5,32.5,32.5
25-04-1994,30.0,30.0,2400.0,30.0,30.0,30.0
26-04-1994,30.0,30.0,200.0,31.25,30.0,30.0
28-04-1994,31.25,31.25,300.0,31.25,31.25,31.25
29-04-1994,31.25,31.25,400.0,31.25,31.25,31.25
02-05-1994,28.75,28.75,1800.0,31.25,28.75,28.75
03-05-1994,31.25,31.25,1100.0,31.25,31.25,31.25
04-05-1994,28.75,28.75,1000.0,30.0,28.75,28.75
05-05-1994,30.0,30.0,700.0,30.0,30.0,30.0
06-05-1994,28.75,30.0,100.0,30.0,30.0,30.0
09-05-1994,30.0,30.0,100.0,30.0,30.0,30.0
10-05-1994,29.375,30.0,400.0,30.0,30.0,30.0
11-05-1994,28.75,30.0,1300.0,30.0,30.0,30.0
12-05-1994,30.0,30.0,500.0,30.0,30.0,30.0
13-05-1994,30.0,30.0,1100.0,30.0,30.0,30.0
16-05-1994,28.75,28.75,3000.0,30.0,28.75,28.75
17-05-1994,28.75,28.75,500.0,31.25,28.75,28.75
18-05-1994,28.75,28.75,700.0,31.25,28.75,28.75
19-05-1994,28.75,31.25,2400.0,31.25,31.25,31.25
20-05-1994,28.75,28.75,13300.0,31.25,28.75,28.75
23-05-1994,28.75,31.25,19100.0,37.5,31.25,31.25
24-05-1994,30.0,30.625,8500.0,32.5,30.625,30.625
25-05-1994,30.0,32.5,5500.0,32.5,32.5,32.5
26-05-1994,30.0,32.5,400.0,32.5,32.5,32.5
