Date,Low,Open,Volume,High,Close,Adjusted_Close
05-12-1986,11.203200340270996,11.203200340270996,1000.0,12.0,11.203200340270996,5.372076034545898
08-12-1986,,,,,,
09-12-1986,,,,,,
10-12-1986,,,,,,
11-12-1986,,,,,,
12-12-1986,,,,,,
15-12-1986,,,,,,
16-12-1986,11.203200340270996,11.203200340270996,1000.0,12.093799591064451,11.203200340270996,5.372076034545898
17-12-1986,,,,,,
18-12-1986,,,,,,
19-12-1986,,,,,,
22-12-1986,,,,,,
23-12-1986,,,,,,
24-12-1986,11.406299591064451,11.406299591064451,1000.0,12.093799591064451,11.406299591064451,5.469463348388672
26-12-1986,11.703200340270996,11.703200340270996,10000.0,12.203200340270996,11.703200340270996,5.611832141876221
29-12-1986,12.406299591064451,12.406299591064451,4000.0,13.093799591064451,12.406299591064451,5.948977470397949
30-12-1986,12.406299591064451,12.406299591064451,4000.0,13.0,12.406299591064451,5.948977470397949
31-12-1986,12.5,12.5,1000.0,13.203200340270996,12.5,5.9939069747924805
02-01-1987,,,,,,
05-01-1987,,,,,,
06-01-1987,12.5,12.5,1000.0,13.296899795532228,12.5,5.9939069747924805
07-01-1987,12.703200340270996,12.703200340270996,2000.0,13.296899795532228,12.703200340270996,6.09134578704834
08-01-1987,12.703200340270996,12.703200340270996,1000.0,13.5,12.703200340270996,6.09134578704834
09-01-1987,12.703200340270996,12.703200340270996,1000.0,13.5,12.703200340270996,6.09134578704834
12-01-1987,,,,,,
13-01-1987,13.0,13.0,6000.0,13.5,13.0,6.233664512634277
14-01-1987,13.0,13.0,2000.0,13.796899795532228,13.0,6.233664512634277
15-01-1987,13.0,13.0,1000.0,13.796899795532228,13.0,6.233664512634277
16-01-1987,,,,,,
19-01-1987,,,,,,
20-01-1987,13.406299591064451,13.406299591064451,7000.0,14.203200340270996,13.406299591064451,6.42849063873291
21-01-1987,,,,,,
22-01-1987,13.406299591064451,13.406299591064451,6000.0,14.203200340270996,13.406299591064451,6.42849063873291
23-01-1987,,,,,,
26-01-1987,13.593799591064451,13.593799591064451,10000.0,14.296899795532228,13.593799591064451,6.518398761749268
27-01-1987,13.593799591064451,13.593799591064451,2000.0,14.296899795532228,13.593799591064451,6.518398761749268
28-01-1987,,,,,,
29-01-1987,13.796899795532228,13.796899795532228,2000.0,14.593799591064451,13.796899795532228,6.615790367126465
30-01-1987,,,,,,
02-02-1987,,,,,,
03-02-1987,,,,,,
04-02-1987,,,,,,
05-02-1987,,,,,,
06-02-1987,,,,,,
09-02-1987,,,,,,
10-02-1987,,,,,,
11-02-1987,,,,,,
12-02-1987,,,,,,
13-02-1987,,,,,,
17-02-1987,13.203200340270996,13.203200340270996,1000.0,14.0,13.203200340270996,6.331099987030029
18-02-1987,13.203200340270996,13.203200340270996,2000.0,14.203200340270996,13.203200340270996,6.331099987030029
19-02-1987,,,,,,
20-02-1987,13.203200340270996,13.203200340270996,1000.0,14.203200340270996,13.203200340270996,6.331099987030029
23-02-1987,13.296899795532228,13.296899795532228,1000.0,14.203200340270996,13.296899795532228,6.392979145050049
24-02-1987,,,,,,
25-02-1987,,,,,,
26-02-1987,,,,,,
27-02-1987,13.5,13.5,2000.0,14.406299591064451,13.5,6.490627765655518
02-03-1987,,,,,,
03-03-1987,,,,,,
04-03-1987,13.796899795532228,13.796899795532228,1000.0,14.796899795532228,13.796899795532228,6.633373260498047
05-03-1987,,,,,,
06-03-1987,,,,,,
09-03-1987,,,,,,
10-03-1987,,,,,,
11-03-1987,,,,,,
12-03-1987,14.0,14.0,1000.0,14.906299591064451,14.0,6.731019973754883
13-03-1987,14.0,14.0,1000.0,15.0,14.0,6.731019973754883
16-03-1987,,,,,,
17-03-1987,14.406299591064451,14.406299591064451,1000.0,15.203200340270996,14.406299591064451,6.926364898681641
18-03-1987,,,,,,
19-03-1987,,,,,,
20-03-1987,14.593799591064451,14.593799591064451,1000.0,15.5,14.593799591064451,7.016513824462891
23-03-1987,,,,,,
