Date,Low,Open,Volume,High,Close,Adjusted_Close
15-03-1996,12.5,12.5,0.0,12.5,12.5,12.5
18-03-1996,12.5,12.5,0.0,12.5,12.5,12.5
19-03-1996,12.5,12.5,0.0,12.5,12.5,12.5
20-03-1996,12.5,12.5,12.0,12.5,12.5,12.5
21-03-1996,12.5,12.5,0.0,12.5,12.5,12.5
22-03-1996,12.5,12.5,0.0,12.5,12.5,12.5
25-03-1996,12.5,12.5,0.0,12.5,12.5,12.5
26-03-1996,12.5,12.5,0.0,12.5,12.5,12.5
27-03-1996,12.5,12.5,0.0,12.5,12.5,12.5
28-03-1996,12.5,12.5,0.0,12.5,12.5,12.5
29-03-1996,12.5,12.5,0.0,12.5,12.5,12.5
01-04-1996,12.5,12.5,7.0,12.5,12.5,12.5
02-04-1996,12.5,12.5,0.0,12.5,12.5,12.5
03-04-1996,18.799999237060547,18.799999237060547,10.0,18.799999237060547,18.799999237060547,18.799999237060547
04-04-1996,18.799999237060547,18.799999237060547,0.0,18.799999237060547,18.799999237060547,18.799999237060547
08-04-1996,18.799999237060547,18.799999237060547,0.0,18.799999237060547,18.799999237060547,18.799999237060547
09-04-1996,18.799999237060547,18.799999237060547,0.0,18.799999237060547,18.799999237060547,18.799999237060547
10-04-1996,18.799999237060547,18.799999237060547,0.0,18.799999237060547,18.799999237060547,18.799999237060547
11-04-1996,12.5,12.5,12.0,12.5,12.5,12.5
12-04-1996,12.5,12.5,0.0,12.5,12.5,12.5
15-04-1996,12.5,12.5,0.0,12.5,12.5,12.5
16-04-1996,12.5,12.5,0.0,12.5,12.5,12.5
17-04-1996,12.5,12.5,0.0,12.5,12.5,12.5
18-04-1996,12.5,12.5,0.0,12.5,12.5,12.5
19-04-1996,12.5,12.5,0.0,12.5,12.5,12.5
22-04-1996,12.5,12.5,0.0,12.5,12.5,12.5
23-04-1996,12.5,12.5,0.0,12.5,12.5,12.5
24-04-1996,12.5,12.5,0.0,12.5,12.5,12.5
25-04-1996,12.5,12.5,0.0,12.5,12.5,12.5
26-04-1996,12.5,12.5,0.0,12.5,12.5,12.5
29-04-1996,12.5,12.5,0.0,12.5,12.5,12.5
30-04-1996,12.5,12.5,0.0,12.5,12.5,12.5
01-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
02-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
03-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
06-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
07-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
08-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
09-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
10-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
13-05-1996,12.5,12.5,6.0,12.5,12.5,12.5
14-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
15-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
16-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
17-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
20-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
21-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
22-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
23-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
24-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
28-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
29-05-1996,12.5,12.5,6.0,12.5,12.5,12.5
30-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
31-05-1996,12.5,12.5,0.0,12.5,12.5,12.5
03-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
04-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
05-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
06-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
07-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
10-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
11-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
12-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
13-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
14-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
17-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
18-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
19-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
20-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
21-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
24-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
25-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
26-06-1996,12.5,12.5,0.0,12.5,12.5,12.5
27-06-1996,12.5,12.5,3.0,12.5,12.5,12.5
28-06-1996,12.5,12.5,15.0,12.5,12.5,12.5
01-07-1996,12.5,12.5,0.0,12.5,12.5,12.5
02-07-1996,12.5,12.5,0.0,12.5,12.5,12.5
03-07-1996,12.5,12.5,0.0,12.5,12.5,12.5
05-07-1996,12.5,12.5,0.0,12.5,12.5,12.5
08-07-1996,12.5,12.5,0.0,12.5,12.5,12.5
09-07-1996,12.5,12.5,3.0,12.5,12.5,12.5
10-07-1996,12.5,12.5,0.0,12.5,12.5,12.5
11-07-1996,12.5,12.5,0.0,12.5,12.5,12.5
12-07-1996,12.5,12.5,0.0,12.5,12.5,12.5
