Date,Low,Open,Volume,High,Close,Adjusted_Close
04-05-2004,0.5249999761581421,0.550000011920929,7400.0,0.625,0.625,0.625
05-05-2004,,,,,,
06-05-2004,,,,,,
07-05-2004,0.5049999952316284,0.574999988079071,5000.0,0.75,0.75,0.75
10-05-2004,,,,,,
11-05-2004,0.5049999952316284,0.5049999952316284,1000.0,0.5049999952316284,0.5049999952316284,0.5049999952316284
12-05-2004,,,,,,
13-05-2004,,,,,,
14-05-2004,,,,,,
17-05-2004,,,,,,
18-05-2004,,,,,,
19-05-2004,,,,,,
20-05-2004,,,,,,
21-05-2004,,,,,,
24-05-2004,,,,,,
25-05-2004,,,,,,
26-05-2004,,,,,,
27-05-2004,,,,,,
28-05-2004,,,,,,
01-06-2004,,,,,,
02-06-2004,,,,,,
03-06-2004,,,,,,
04-06-2004,0.5,0.5,112000.0,0.5049999952316284,0.5049999952316284,0.5049999952316284
07-06-2004,,,,,,
08-06-2004,,,,,,
09-06-2004,,,,,,
10-06-2004,,,,,,
14-06-2004,,,,,,
15-06-2004,,,,,,
16-06-2004,,,,,,
17-06-2004,,,,,,
18-06-2004,,,,,,
21-06-2004,,,,,,
22-06-2004,,,,,,
23-06-2004,,,,,,
24-06-2004,,,,,,
25-06-2004,,,,,,
28-06-2004,,,,,,
29-06-2004,,,,,,
30-06-2004,,,,,,
01-07-2004,,,,,,
02-07-2004,,,,,,
06-07-2004,,,,,,
07-07-2004,,,,,,
08-07-2004,,,,,,
09-07-2004,,,,,,
12-07-2004,,,,,,
13-07-2004,,,,,,
14-07-2004,,,,,,
15-07-2004,,,,,,
16-07-2004,,,,,,
19-07-2004,,,,,,
20-07-2004,,,,,,
21-07-2004,,,,,,
22-07-2004,,,,,,
23-07-2004,,,,,,
26-07-2004,,,,,,
27-07-2004,,,,,,
28-07-2004,,,,,,
29-07-2004,,,,,,
30-07-2004,,,,,,
02-08-2004,,,,,,
03-08-2004,,,,,,
04-08-2004,,,,,,
05-08-2004,,,,,,
06-08-2004,,,,,,
09-08-2004,,,,,,
10-08-2004,,,,,,
11-08-2004,,,,,,
12-08-2004,,,,,,
13-08-2004,,,,,,
16-08-2004,,,,,,
17-08-2004,,,,,,
18-08-2004,0.3499999940395355,0.3499999940395355,280800.0,0.3510000109672546,0.3510000109672546,0.3510000109672546
19-08-2004,,,,,,
20-08-2004,,,,,,
23-08-2004,,,,,,
24-08-2004,,,,,,
25-08-2004,,,,,,
26-08-2004,,,,,,
27-08-2004,,,,,,
30-08-2004,,,,,,
31-08-2004,,,,,,
01-09-2004,0.5249999761581421,0.5249999761581421,2000.0,0.5249999761581421,0.5249999761581421,0.5249999761581421
02-09-2004,,,,,,
03-09-2004,,,,,,
07-09-2004,,,,,,
08-09-2004,,,,,,
09-09-2004,,,,,,
10-09-2004,,,,,,
13-09-2004,,,,,,
14-09-2004,,,,,,
15-09-2004,,,,,,
16-09-2004,,,,,,
17-09-2004,,,,,,
20-09-2004,,,,,,
21-09-2004,,,,,,
22-09-2004,,,,,,
23-09-2004,,,,,,
24-09-2004,,,,,,
27-09-2004,,,,,,
28-09-2004,,,,,,
29-09-2004,,,,,,
30-09-2004,,,,,,
01-10-2004,,,,,,
04-10-2004,,,,,,
05-10-2004,,,,,,
06-10-2004,,,,,,
07-10-2004,,,,,,
08-10-2004,,,,,,
11-10-2004,,,,,,
12-10-2004,,,,,,
13-10-2004,,,,,,
14-10-2004,,,,,,
15-10-2004,,,,,,
18-10-2004,,,,,,
19-10-2004,,,,,,
20-10-2004,,,,,,
21-10-2004,,,,,,
22-10-2004,,,,,,
25-10-2004,,,,,,
26-10-2004,,,,,,
27-10-2004,,,,,,
28-10-2004,,,,,,
29-10-2004,,,,,,
01-11-2004,,,,,,
02-11-2004,,,,,,
03-11-2004,,,,,,
04-11-2004,,,,,,
05-11-2004,,,,,,
08-11-2004,,,,,,
09-11-2004,,,,,,
10-11-2004,,,,,,
11-11-2004,,,,,,
12-11-2004,,,,,,
15-11-2004,,,,,,
16-11-2004,,,,,,
17-11-2004,,,,,,
18-11-2004,,,,,,
19-11-2004,,,,,,
22-11-2004,,,,,,
23-11-2004,,,,,,
24-11-2004,,,,,,
26-11-2004,,,,,,
29-11-2004,,,,,,
30-11-2004,,,,,,
01-12-2004,,,,,,
02-12-2004,0.7250000238418579,0.7250000238418579,17600.0,3.5,2.0,2.0
03-12-2004,1.25,1.25,2000.0,1.2549999952316284,1.2549999952316284,1.2549999952316284
06-12-2004,1.75,1.75,2000.0,1.75,1.75,1.75
07-12-2004,1.875,1.875,2000.0,1.875,1.875,1.875
08-12-2004,,,,,,
09-12-2004,,,,,,
10-12-2004,2.994999885559082,2.997600078582764,281400.0,3.0,2.994999885559082,2.994999885559082
13-12-2004,,,,,,
14-12-2004,,,,,,
15-12-2004,,,,,,
16-12-2004,,,,,,
17-12-2004,,,,,,
20-12-2004,,,,,,
21-12-2004,,,,,,
22-12-2004,,,,,,
23-12-2004,3.015000104904175,3.015000104904175,20000.0,3.025000095367432,3.025000095367432,3.025000095367432
27-12-2004,,,,,,
28-12-2004,,,,,,
29-12-2004,,,,,,
30-12-2004,,,,,,
31-12-2004,,,,,,
03-01-2005,3.0,3.0,3200.0,3.025000095367432,3.025000095367432,3.025000095367432
04-01-2005,3.0,3.0,2400.0,3.0,3.0,3.0
05-01-2005,3.0,3.0,200.0,3.0,3.0,3.0
06-01-2005,3.0,3.0,2000.0,3.025000095367432,3.025000095367432,3.025000095367432
07-01-2005,3.0,3.0,31400.0,4.5,4.0,4.0
10-01-2005,,,,,,
11-01-2005,3.75,3.75,14000.0,3.775000095367432,3.75,3.75
12-01-2005,3.5,3.5,200.0,3.5,3.5,3.5
13-01-2005,,,,,,
14-01-2005,3.525000095367432,3.525000095367432,200.0,3.525000095367432,3.525000095367432,3.525000095367432
18-01-2005,,,,,,
19-01-2005,,,,,,
20-01-2005,,,,,,
21-01-2005,,,,,,
24-01-2005,3.625,3.625,1000.0,3.625,3.625,3.625
25-01-2005,,,,,,
26-01-2005,,,,,,
27-01-2005,,,,,,
28-01-2005,,,,,,
31-01-2005,1.5,1.5,600.0,1.5,1.5,1.5
01-02-2005,,,,,,
02-02-2005,,,,,,
03-02-2005,,,,,,
04-02-2005,1.25,1.25,1400.0,1.25,1.25,1.25
07-02-2005,,,,,,
08-02-2005,1.25,1.25,1000.0,1.25,1.25,1.25
09-02-2005,,,,,,
10-02-2005,,,,,,
