Date,Low,Open,Volume,High,Close,Adjusted_Close
22-07-1997,64.0,66.0,123625.0,68.0,66.0,66.0
23-07-1997,65.0,68.0,16600.0,68.0,66.0,66.0
24-07-1997,65.0,67.0,11100.0,67.0,65.0,65.0
25-07-1997,64.0,66.0,11937.0,66.0,65.0,65.0
28-07-1997,64.0,66.0,12675.0,66.0,65.0,65.0
29-07-1997,64.0,65.5199966430664,11750.0,66.0,64.0,64.0
30-07-1997,64.0,66.0,2150.0,66.0,64.0,64.0
31-07-1997,64.0,64.23999786376953,29400.0,65.0,65.0,65.0
01-08-1997,65.0,65.04000091552734,17687.0,68.0,68.0,68.0
04-08-1997,68.0,68.0,2112.0,70.0,70.0,70.0
05-08-1997,69.0,70.0,60200.0,79.0,76.0,76.0
06-08-1997,77.0,79.04000091552734,26800.0,81.0,79.0,79.0
07-08-1997,77.0,81.0,12737.0,81.0,77.0,77.0
08-08-1997,74.0,77.04000091552734,10037.0,80.0,76.0,76.0
11-08-1997,74.0,74.0,2375.0,76.0,74.0,74.0
12-08-1997,74.0,74.0,325.0,75.0,74.0,74.0
13-08-1997,70.0,76.0,13962.0,76.0,72.0,72.0
14-08-1997,70.0,71.04000091552734,487.0,72.0,70.0,70.0
15-08-1997,70.0,70.0,3812.0,70.0,70.0,70.0
18-08-1997,69.0,70.0,3687.0,71.0,70.50399780273438,70.50399780273438
19-08-1997,70.0,72.0,3712.0,75.0,73.0,73.0
20-08-1997,71.0,75.0,2950.0,75.0,71.0,71.0
21-08-1997,72.0,74.0,825.0,74.0,72.0,72.0
22-08-1997,71.0,71.04000091552734,412.0,74.0,74.0,74.0
25-08-1997,72.0,74.0,2262.0,74.0,72.0,72.0
26-08-1997,71.0,72.0,3062.0,73.0,71.0,71.0
27-08-1997,71.0,71.04000091552734,650.0,72.0,71.0,71.0
28-08-1997,71.0,71.04000091552734,525.0,72.0,72.0,72.0
29-08-1997,71.0,71.04000091552734,1550.0,73.0,73.0,73.0
02-09-1997,72.0,72.0,7387.0,75.0,73.0,73.0
03-09-1997,72.0,73.04000091552734,16675.0,78.0,78.0,78.0
04-09-1997,77.0,78.0,23750.0,86.0,85.0,85.0
05-09-1997,80.0,86.0,8237.0,86.0,80.0,80.0
08-09-1997,79.0,85.0,1062.0,85.0,82.0,82.0
09-09-1997,,,,,,
10-09-1997,80.0,83.0,662.0,83.0,82.0,82.0
11-09-1997,80.0,82.0,9275.0,93.0,92.0,92.0
12-09-1997,90.0,93.04000091552734,15475.0,102.0,102.0,102.0
15-09-1997,97.0,102.0,4362.0,104.0,98.0,98.0
16-09-1997,98.0,98.0,13462.0,101.0,101.0,101.0
17-09-1997,98.0,101.04000091552734,14612.0,104.0,103.0,103.0
18-09-1997,101.0,104.0,2937.0,104.0,101.0,101.0
19-09-1997,101.0,101.04000091552734,1237.0,104.0,104.0,104.0
22-09-1997,96.0,103.0,4487.0,103.0,96.0,96.0
23-09-1997,96.0,97.04000091552734,16000.0,100.0,96.0,96.0
24-09-1997,96.0,96.0,17162.0,100.0,98.0,98.0
25-09-1997,96.0,98.0,6575.0,99.0,97.0,97.0
26-09-1997,96.0,99.0,5762.0,99.0,97.0,97.0
29-09-1997,95.0,97.04000091552734,5600.0,98.0,95.0,95.0
30-09-1997,94.0,94.0,12937.0,98.0,96.0,96.0
01-10-1997,96.0,99.0,1412.0,99.0,96.0,96.0
02-10-1997,93.0,99.0,1000.0,99.0,93.0,93.0
03-10-1997,94.0,94.0,2737.0,96.0,94.0,94.0
06-10-1997,93.0,94.0,13437.0,96.0,94.0,94.0
07-10-1997,94.0,97.04000091552734,11662.0,99.0,98.0,98.0
08-10-1997,97.0,97.04000091552734,7062.0,99.0,98.0,98.0
09-10-1997,98.0,98.0,28887.0,106.0,104.0,104.0
10-10-1997,104.0,105.04000091552734,15200.0,112.0,109.0,109.0
13-10-1997,108.0,110.0,18012.0,113.0,111.50399780273438,111.50399780273438
14-10-1997,108.0,108.0,1600.0,110.0,108.50399780273438,108.50399780273438
15-10-1997,104.0,110.0,10912.0,110.0,105.0,105.0
16-10-1997,104.0,104.0,8862.0,105.0,104.0,104.0
17-10-1997,101.0,104.0,11650.0,104.0,101.0,101.0
20-10-1997,99.0,101.04000091552734,32562.0,103.0,103.0,103.0
21-10-1997,103.0,103.04000091552734,11987.0,110.0,109.0,109.0
22-10-1997,108.0,111.04000091552734,6112.0,115.0,112.0,112.0
23-10-1997,104.0,112.0,9350.0,114.7519989013672,105.0,105.0
24-10-1997,103.0,107.04000091552734,5675.0,109.0,105.0,105.0
27-10-1997,86.0,100.0,20537.0,100.0,87.0,87.0
28-10-1997,82.0,86.0,17825.0,96.0,92.0,92.0
29-10-1997,95.0,96.0,8437.0,105.0,103.0,103.0
30-10-1997,92.0,98.0,8212.0,99.0,92.0,92.0
31-10-1997,91.0,95.04000091552734,31325.0,96.0,96.0,96.0
03-11-1997,92.0,96.0,10075.0,98.0,94.0,94.0
04-11-1997,91.0,91.04000091552734,1962.0,94.0,92.0,92.0
05-11-1997,90.0,90.0,1000.0,92.0,92.0,92.0
06-11-1997,87.0,90.0,5012.0,90.0,88.0,88.0
07-11-1997,83.0,84.0,4700.0,88.0,85.0,85.0
10-11-1997,84.0,85.04000091552734,1275.0,89.0,89.0,89.0
11-11-1997,88.0,90.0,1212.0,92.0,92.0,92.0
12-11-1997,86.0,88.0,5650.0,91.0,88.0,88.0
13-11-1997,86.0,87.04000091552734,1675.0,87.50399780273438,87.50399780273438,87.50399780273438
14-11-1997,88.0,88.0,125.0,88.0,88.0,88.0
17-11-1997,88.0,88.0,12.0,88.0,88.0,88.0
18-11-1997,86.0,86.0,912.0,86.0,86.0,86.0
19-11-1997,86.0,86.0,0.0,86.0,86.0,86.0
20-11-1997,86.0,88.0,3787.0,88.0,86.0,86.0
21-11-1997,86.0,86.0,337.0,87.0,87.0,87.0
24-11-1997,85.0,87.04000091552734,12487.0,92.0,86.0,86.0
25-11-1997,81.0,86.0,2650.0,87.0,81.0,81.0
26-11-1997,79.0,82.0,14862.0,82.0,79.50399780273438,79.50399780273438
28-11-1997,79.0,79.50399780273438,37.0,79.50399780273438,79.50399780273438,79.50399780273438
01-12-1997,79.0,82.0,3650.0,82.0,79.0,79.0
02-12-1997,79.0,79.0,200.0,79.0,79.0,79.0
03-12-1997,72.0,79.0,5225.0,79.0,73.3759994506836,73.3759994506836
04-12-1997,70.0,73.0,4700.0,73.0,71.0,71.0
05-12-1997,72.0,73.04000091552734,600.0,75.50399780273438,74.0,74.0
08-12-1997,76.0,76.0,4637.0,85.0,85.0,85.0
09-12-1997,83.0,83.04000091552734,612.0,85.0,85.0,85.0
10-12-1997,80.0,81.0,6087.0,81.0,81.0,81.0
11-12-1997,77.0,80.0,6712.0,80.0,80.0,80.0
12-12-1997,77.0,77.04000091552734,662.0,77.50399780273438,77.0,77.0
15-12-1997,77.0,77.0,0.0,77.0,77.0,77.0
16-12-1997,77.0,81.0,37.0,81.0,77.0,77.0
17-12-1997,76.0,78.0,4650.0,78.0,78.0,78.0
18-12-1997,77.0,81.0,1450.0,81.0,77.0,77.0
19-12-1997,77.0,81.0,87.0,81.0,77.0,77.0
22-12-1997,77.0,77.0,125.0,77.0,77.0,77.0
23-12-1997,77.0,77.04000091552734,750.0,81.0,77.0,77.0
24-12-1997,77.0,77.0,125.0,77.0,77.0,77.0
26-12-1997,77.0,77.04000091552734,112.0,81.0,81.0,81.0
