Date,Low,Open,Volume,High,Close,Adjusted_Close
08-09-2016,0.0140000004321336,0.0160000007599592,0.0,0.0160000007599592,0.0140000004321336,0.0140000004321336
09-09-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0140000004321336,0.0140000004321336
12-09-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0140000004321336,0.0140000004321336
13-09-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0140000004321336,0.0140000004321336
14-09-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0140000004321336,0.0140000004321336
15-09-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0140000004321336,0.0140000004321336
16-09-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0140000004321336,0.0140000004321336
19-09-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0140000004321336,0.0140000004321336
20-09-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0140000004321336,0.0140000004321336
21-09-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0140000004321336,0.0140000004321336
22-09-2016,0.0179999992251396,0.0189999993890523,0.0,0.0189999993890523,0.0179999992251396,0.0179999992251396
23-09-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0140000004321336,0.0140000004321336
26-09-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0140000004321336,0.0140000004321336
27-09-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0140000004321336,0.0140000004321336
28-09-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0140000004321336,0.0140000004321336
29-09-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0140000004321336,0.0140000004321336
30-09-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0140000004321336,0.0140000004321336
03-10-2016,0.0140000004321336,0.0140000004321336,0.0,0.0140000004321336,0.0140000004321336,0.0140000004321336
04-10-2016,0.0179999992251396,0.0189999993890523,0.0,0.0189999993890523,0.0179999992251396,0.0179999992251396
05-10-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0149999996647238,0.0149999996647238
06-10-2016,0.0140000004321336,0.0149999996647238,0.0,0.0149999996647238,0.0149999996647238,0.0149999996647238
07-10-2016,0.0149999996647238,0.0149999996647238,0.0,0.0149999996647238,0.0149999996647238,0.0149999996647238
10-10-2016,0.0149999996647238,0.0149999996647238,0.0,0.0149999996647238,0.0149999996647238,0.0149999996647238
11-10-2016,0.0149999996647238,0.0149999996647238,0.0,0.0149999996647238,0.0149999996647238,0.0149999996647238
12-10-2016,0.0149999996647238,0.0149999996647238,0.0,0.0149999996647238,0.0149999996647238,0.0149999996647238
13-10-2016,0.0149999996647238,0.0149999996647238,0.0,0.0149999996647238,0.0149999996647238,0.0149999996647238
14-10-2016,0.0149999996647238,0.0149999996647238,0.0,0.0149999996647238,0.0149999996647238,0.0149999996647238
17-10-2016,0.0140000004321336,0.0140000004321336,0.0,0.0160000007599592,0.0160000007599592,0.0160000007599592
18-10-2016,0.0160000007599592,0.0160000007599592,0.0,0.0160000007599592,0.0160000007599592,0.0160000007599592
19-10-2016,0.0160000007599592,0.0160000007599592,0.0,0.0160000007599592,0.0160000007599592,0.0160000007599592
20-10-2016,0.0160000007599592,0.0160000007599592,0.0,0.0160000007599592,0.0160000007599592,0.0160000007599592
21-10-2016,,,,,,
24-10-2016,,,,,,
25-10-2016,,,,,,
26-10-2016,,,,,,
27-10-2016,,,,,,
28-10-2016,,,,,,
31-10-2016,,,,,,
01-11-2016,,,,,,
02-11-2016,,,,,,
03-11-2016,,,,,,
04-11-2016,,,,,,
07-11-2016,,,,,,
08-11-2016,,,,,,
09-11-2016,,,,,,
10-11-2016,,,,,,
11-11-2016,,,,,,
14-11-2016,,,,,,
15-11-2016,,,,,,
16-11-2016,,,,,,
17-11-2016,,,,,,
18-11-2016,,,,,,
21-11-2016,,,,,,
22-11-2016,,,,,,
23-11-2016,,,,,,
25-11-2016,,,,,,
28-11-2016,,,,,,
29-11-2016,,,,,,
30-11-2016,,,,,,
01-12-2016,,,,,,
02-12-2016,,,,,,
05-12-2016,,,,,,
06-12-2016,,,,,,
07-12-2016,,,,,,
08-12-2016,,,,,,
09-12-2016,,,,,,
12-12-2016,,,,,,
13-12-2016,,,,,,
14-12-2016,,,,,,
15-12-2016,,,,,,
16-12-2016,,,,,,
19-12-2016,,,,,,
20-12-2016,,,,,,
21-12-2016,,,,,,
22-12-2016,,,,,,
23-12-2016,,,,,,
27-12-2016,,,,,,
28-12-2016,,,,,,
29-12-2016,,,,,,
30-12-2016,,,,,,
03-01-2017,,,,,,
04-01-2017,,,,,,
05-01-2017,,,,,,
06-01-2017,,,,,,
09-01-2017,,,,,,
10-01-2017,,,,,,
11-01-2017,,,,,,
12-01-2017,,,,,,
13-01-2017,,,,,,
17-01-2017,,,,,,
18-01-2017,,,,,,
19-01-2017,,,,,,
20-01-2017,,,,,,
23-01-2017,,,,,,
24-01-2017,,,,,,
25-01-2017,,,,,,
26-01-2017,,,,,,
27-01-2017,,,,,,
30-01-2017,,,,,,
31-01-2017,,,,,,
01-02-2017,,,,,,
02-02-2017,,,,,,
03-02-2017,,,,,,
06-02-2017,,,,,,
07-02-2017,,,,,,
08-02-2017,,,,,,
09-02-2017,,,,,,
10-02-2017,,,,,,
13-02-2017,,,,,,
14-02-2017,,,,,,
15-02-2017,,,,,,
16-02-2017,,,,,,
17-02-2017,,,,,,
21-02-2017,,,,,,
22-02-2017,,,,,,
23-02-2017,,,,,,
24-02-2017,,,,,,
27-02-2017,,,,,,
28-02-2017,,,,,,
01-03-2017,,,,,,
02-03-2017,,,,,,
03-03-2017,,,,,,
06-03-2017,,,,,,
07-03-2017,,,,,,
08-03-2017,,,,,,
09-03-2017,,,,,,
10-03-2017,,,,,,
13-03-2017,,,,,,
14-03-2017,,,,,,
15-03-2017,,,,,,
16-03-2017,,,,,,
17-03-2017,,,,,,
20-03-2017,,,,,,
21-03-2017,,,,,,
22-03-2017,,,,,,
23-03-2017,,,,,,
24-03-2017,,,,,,
27-03-2017,,,,,,
28-03-2017,,,,,,
29-03-2017,,,,,,
30-03-2017,,,,,,
31-03-2017,,,,,,
03-04-2017,,,,,,
04-04-2017,,,,,,
05-04-2017,,,,,,
06-04-2017,,,,,,
07-04-2017,,,,,,
10-04-2017,,,,,,
11-04-2017,,,,,,
12-04-2017,,,,,,
13-04-2017,,,,,,
17-04-2017,,,,,,
18-04-2017,,,,,,
19-04-2017,,,,,,
20-04-2017,,,,,,
21-04-2017,,,,,,
24-04-2017,,,,,,
25-04-2017,,,,,,
26-04-2017,,,,,,
27-04-2017,,,,,,
28-04-2017,,,,,,
01-05-2017,,,,,,
02-05-2017,,,,,,
03-05-2017,,,,,,
04-05-2017,,,,,,
05-05-2017,,,,,,
08-05-2017,,,,,,
09-05-2017,,,,,,
10-05-2017,,,,,,
11-05-2017,,,,,,
12-05-2017,,,,,,
15-05-2017,,,,,,
16-05-2017,,,,,,
17-05-2017,,,,,,
18-05-2017,,,,,,
19-05-2017,,,,,,
22-05-2017,,,,,,
23-05-2017,,,,,,
24-05-2017,,,,,,
25-05-2017,,,,,,
26-05-2017,,,,,,
30-05-2017,,,,,,
31-05-2017,,,,,,
01-06-2017,,,,,,
02-06-2017,,,,,,
05-06-2017,,,,,,
06-06-2017,,,,,,
07-06-2017,,,,,,
08-06-2017,,,,,,
09-06-2017,,,,,,
12-06-2017,,,,,,
13-06-2017,,,,,,
14-06-2017,,,,,,
15-06-2017,,,,,,
16-06-2017,,,,,,
19-06-2017,,,,,,
