Date,Low,Open,Volume,High,Close,Adjusted_Close
21-02-1973,5.15625,0.0,22400,5.1875,5.15625,2.15132737159729
22-02-1973,5.171875,0.0,11200,5.203125,5.171875,2.1578474044799805
23-02-1973,5.125,0.0,52800,5.171875,5.140625,2.144807815551758
26-02-1973,5.125,0.0,9600,5.125,5.125,2.138288974761963
27-02-1973,5.125,0.0,18400,5.140625,5.125,2.138288974761963
28-02-1973,5.125,0.0,29600,5.140625,5.125,2.138288974761963
01-03-1973,5.0625,0.0,24000,5.125,5.0625,2.1154630184173584
02-03-1973,5.03125,0.0,36800,5.0625,5.03125,2.102405071258545
05-03-1973,5.0,0.0,48000,5.046875,5.015625,2.095875740051269
06-03-1973,5.015625,0.0,12800,5.078125,5.078125,2.121991872787476
07-03-1973,5.0625,0.0,97600,5.125,5.125,2.14158034324646
08-03-1973,5.09375,0.0,8000,5.109375,5.109375,2.135051250457764
09-03-1973,5.09375,0.0,100800,5.125,5.09375,2.1285223960876465
12-03-1973,5.0625,0.0,57600,5.09375,5.0625,2.1154630184173584
13-03-1973,5.03125,0.0,114400,5.03125,5.03125,2.102405071258545
14-03-1973,5.0625,0.0,226400,5.125,5.109375,2.135051250457764
15-03-1973,5.125,0.0,74400,5.21875,5.1875,2.167696714401245
16-03-1973,5.15625,0.0,116000,5.1875,5.1875,2.167696714401245
19-03-1973,5.171875,0.0,53600,5.234375,5.234375,2.1872847080230717
20-03-1973,5.203125,0.0,40000,5.28125,5.25,2.193812847137451
21-03-1973,5.265625,0.0,65600,5.34375,5.28125,2.2068722248077397
22-03-1973,5.125,0.0,69600,5.265625,5.125,2.14158034324646
23-03-1973,5.109375,0.0,20000,5.140625,5.125,2.14158034324646
26-03-1973,5.15625,0.0,28800,5.21875,5.1875,2.167696714401245
27-03-1973,5.15625,0.0,12000,5.1875,5.171875,2.1611688137054443
28-03-1973,5.15625,0.0,38400,5.3125,5.3125,2.2199301719665527
29-03-1973,5.34375,0.0,516000,5.53125,5.53125,2.311339855194092
30-03-1973,5.4375,0.0,50400,5.5,5.46875,2.2852225303649902
02-04-1973,5.4375,0.0,12000,5.5,5.5,2.298281669616699
03-04-1973,5.46875,0.0,53600,5.5625,5.5625,2.324397563934326
04-04-1973,5.53125,0.0,32800,5.609375,5.609375,2.343985319137573
05-04-1973,5.546875,0.0,21600,5.609375,5.546875,2.317867994308472
06-04-1973,5.375,0.0,79200,5.578125,5.375,2.2460479736328125
09-04-1973,5.34375,0.0,48000,5.375,5.375,2.2460479736328125
10-04-1973,5.296875,0.0,125600,5.375,5.296875,2.2134017944335938
11-04-1973,5.0,0.0,34400,5.265625,5.0,2.089346408843994
12-04-1973,5.015625,0.0,92800,5.109375,5.109375,2.135051250457764
13-04-1973,5.078125,0.0,13600,5.109375,5.09375,2.1285223960876465
16-04-1973,5.078125,0.0,26400,5.109375,5.078125,2.121991872787476
17-04-1973,5.078125,0.0,7200,5.09375,5.078125,2.121991872787476
18-04-1973,5.0,0.0,31200,5.0625,5.015625,2.095875740051269
19-04-1973,5.0,0.0,18400,5.015625,5.015625,2.095875740051269
23-04-1973,5.0,0.0,29600,5.015625,5.0,2.089346408843994
24-04-1973,5.0,0.0,40800,5.03125,5.0,2.089346408843994
25-04-1973,4.796875,0.0,52800,4.96875,4.796875,2.004467010498047
26-04-1973,4.625,0.0,48800,4.75,4.671875,1.9522325992584229
27-04-1973,4.6875,0.0,68000,4.71875,4.6875,1.958762288093567
30-04-1973,4.65625,0.0,73600,4.75,4.75,1.9848793745040891
01-05-1973,4.78125,0.0,56800,4.90625,4.875,2.0371129512786865
02-05-1973,4.859375,0.0,27200,4.875,4.875,2.0371129512786865
03-05-1973,4.859375,0.0,33600,4.984375,4.953125,2.069758653640747
04-05-1973,4.984375,0.0,56000,5.125,5.125,2.14158034324646
07-05-1973,5.0,0.0,51200,5.09375,5.09375,2.1285223960876465
08-05-1973,5.0625,0.0,5600,5.09375,5.0625,2.1154630184173584
09-05-1973,5.09375,0.0,12800,5.21875,5.21875,2.180755615234375
10-05-1973,5.1875,0.0,59200,5.265625,5.1875,2.167696714401245
11-05-1973,5.078125,0.0,61600,5.1875,5.078125,2.121991872787476
14-05-1973,5.03125,0.0,27200,5.0625,5.03125,2.102405071258545
15-05-1973,4.921875,0.0,12000,5.0,4.921875,2.056699514389038
16-05-1973,4.890625,0.0,11200,4.9375,4.890625,2.043642520904541
17-05-1973,4.78125,0.0,34400,4.875,4.796875,2.004467010498047
18-05-1973,4.5625,0.0,18400,4.765625,4.5625,1.9065275192260744
21-05-1973,4.515625,0.0,32000,4.5625,4.53125,1.8934714794158936
